Rank,Game,Popularity estimate,Estimate basis,VR type,VR implementation,Confidence,Notes
48,Doom II,6M+ sold (historical estimate),Historical estimate,Mod,QuestZDoom / source-port VR,Low,"Older title with fuzzier sales data, but credible VR conversion exists."
49,The Forest,5M+ sold,Public sales,Official,Native VR support,High,Important because the VR mode is official and the flat game had real breakout success.
50,American Truck Simulator,5M+ sold,Owners proxy / public milestone chatter,Official,Official VR beta branch,Moderate,"Less well documented than ETS2, but clearly large enough to make the cut."
51,BeamNG.drive,5M+ sold/owners proxy,Owners proxy,Official,Experimental native VR support,Moderate,Owners estimate rather than publisher-confirmed lifetime shipments.
52,Gran Turismo 7,5M+ sold/owners proxy,Sales / owners proxy,Official,Official PSVR2 mode,Moderate,Would rank higher if we used only console-platform racing popularity rather than broad all-platform flat sales.
53,Hitman World of Assassination,5M+ sold/player proxy,Public sales context,Official,Official VR mode,Moderate,"Official VR exists, though quality debates are separate from popularity."
54,Raft,5M+ sold,Public sales / milestone,Mod,Raft VR mod,Moderate,VR support is community-made but widely recognized.
55,Ready or Not,5M+ sold,Public sales milestone,Mod,UEVR community profiles,Moderate,Large enough flat success to justify inclusion.
56,Satisfactory,5M+ sold,Public sales,Mod,UEVR community profiles,Moderate,Large enough PC hit to justify inclusion.
57,Atomic Heart,5M+ players proxy,Public player figure,Mod,UEVR community profiles,Low,Player figure is more available than unit sales.
58,Crash Bandicoot 4: It's About Time,5M-scale reach proxy,Sales / owners proxy,Mod,UEVR community profiles,Low,Back-half inclusion; more of a recognized possibility than a canonical VR conversion.
59,Star Wars Jedi: Survivor,5M-scale reach proxy,Sales / owners proxy,Mod,UEVR community profiles,Low,"High-profile flat release, lower-confidence sales picture."
60,Elite Dangerous,4M+ sold,Public sales,Official,Native VR support,High,A notable simulation game that natively spans flat and VR.
61,Risk of Rain 2,4M+ sold,Public sales milestone,Mod,Risk of Rain 2 VR Mod,High,"A widely cited, genuinely substantial VR mod."
62,Stray,4M+ sold/players proxy,Sales / owners proxy,Mod,UEVR community profiles,Moderate,Popular enough to matter; VR path is community-driven.
63,Morrowind,4M+ sold (historical estimate),Historical estimate,Mod,OpenMW-VR,Low,"Old sales data is muddy, but the VR conversion is real and important."
64,Portal,4M+ sold/owners proxy,Owners proxy,Mod,Community VR mod,Low,"Smaller and less standardized than the Portal 2 VR story, but still a real inclusion."
65,Uncharted: The Lost Legacy,Title-family proxy,Franchise/title proxy,Mod,Luke Ross / community VR mods,Low,Companion inclusion with weaker standalone popularity than Uncharted 4.
66,Dead Island 2,3M+ sold,Public sales milestone,Mod,UEVR community profiles,Moderate,Recognizable mainstream title with a VR path through UEVR.
67,Doom 3,3M+ sold,Historical estimate,Official,Doom 3: VR Edition / community ports,Moderate,Official VR version exists; sales data is older and less precise.
68,Firewatch,3M+ sold,Public sales,Mod,Community VR mod,Moderate,Good fit for a list about important flat games that people later wanted in VR.
69,Mafia: Definitive Edition,Franchise-scale popularity proxy,Franchise / review proxy,Mod,Luke Ross R.E.A.L. VR,Low,"VR path is clear, sales data for this exact SKU is not."
70,Quake,3M+ historical estimate,Historical estimate,Mod,Quake VR source ports,Low,Historic PC sales are fuzzy; importance is larger than the hard data.
71,Outer Wilds,2M+ sold,Public sales,Mod,NomaiVR,High,"A much smaller seller than the giants above, but one of the best-known flat-to-VR mods in enthusiast circles."
72,Alien: Isolation,2M+ sold/owners proxy,Sales / owners proxy,Mod,MotherVR,Moderate,One of the most famous single-game VR mods ever made.
73,Assetto Corsa Competizione,2M+ sold/owners proxy,Owners proxy,Official,Native VR support,Moderate,Smaller than AC but still materially popular in sim-racing.
74,GTFO,2M+ sold/owners proxy,Owners proxy,Mod,GTFO VR mod,Moderate,Well-known co-op VR conversion candidate.
75,Little Nightmares II,2M+ sold,Public sales milestone,Mod,UEVR community profiles,Moderate,Popular enough to earn a lower-slot inclusion.
76,Remnant II,2M+ sold,Public sales milestone,Mod,UEVR community profiles,Moderate,"Solid popularity, strong UEVR interest."
77,Star Wars: Squadrons,2M+ sales/player proxy,Sales / player proxy,Official,Official VR support,Moderate,A cleaner inclusion than many mods because the VR support is native.
78,The Outlast Trials,2M+ sold/owners proxy,Owners proxy,Mod,UEVR community profiles,Moderate,Co-op horror popularity justifies the back-half placement.
79,Black Mesa,2M+ owners proxy,Owners proxy,Mod,Community VR mod,Low,"Not as large as Half-Life proper, but notable enough to include in the tail."
80,Ghostrunner,2M+ players proxy,Public player figure,Mod,UEVR community profiles,Low,Player totals are easier to find than shipment data.
81,Ghostwire: Tokyo,Large AAA reach proxy,Review / subscription reach proxy,Mod,Luke Ross R.E.A.L. VR,Low,Better known for being VR-playable than for transparent sales reporting.
82,Quake II,2M+ historical estimate,Historical estimate,Mod,Quake II VR source ports,Low,Another culturally important classic with credible community VR conversion.
83,Return to Castle Wolfenstein,2M+ historical proxy,Historical estimate,Mod,RTCWQuest / community VR ports,Low,Classic shooter with a real VR afterlife.
84,The Callisto Protocol,2M-scale reach proxy,Sales / owners proxy,Mod,UEVR community profiles,Low,VR path exists; popularity was moderate rather than huge.
85,DiRT Rally 2.0,1M+ sold/owners proxy,Owners proxy,Official,Official PC VR support,Moderate,"Niche versus the list leaders, but clearly a legitimate flat-to-VR title."
86,Returnal,1M+ sold,Public sales milestone,Mod,UEVR community profiles,Moderate,Respected conversion candidate; not a gigantic seller.
87,A Plague Tale: Requiem,1M+ players proxy,Public player figure,Mod,UEVR community profiles,Low,"Not a giant seller, but a recognized UEVR candidate."
88,F1 22,Annual sports-release proxy,Franchise / review proxy,Official,Official PC VR support,Low,Same caveat as other annual F1 entries.
89,F1 23,Annual sports-release proxy,Franchise / review proxy,Official,Official PC VR support,Low,Included because official VR exists and the F1 line has real reach.
90,F1 24,Annual sports-release proxy,Franchise / review proxy,Official,Official PC VR support,Low,Ranking by exact lifetime popularity is weak because annualized sports titles blur together.
91,Ghostrunner 2,1M-scale reach proxy,Review / owners proxy,Mod,UEVR community profiles,Low,"Meaningful UEVR use case, but not a huge flat hit."
92,MechWarrior 5: Mercenaries,1M+ sold/players proxy,Milestone / players proxy,Mod,UEVR / community VR mods,Low,"Useful inclusion, but the data is not especially clean."
93,RoboCop: Rogue City,1M+ sold/players proxy,Milestone / owners proxy,Mod,UEVR community profiles,Low,"Smaller game, but a recognizable modern UEVR showcase."
94,Sackboy: A Big Adventure,1M-scale owners proxy,Owners proxy,Mod,UEVR community profiles,Low,More of a showcase inclusion than a top-tier popularity monster.
95,Star Wars Jedi Knight II: Jedi Outcast,1M+ historical proxy,Historical estimate,Mod,QuestJKXR,Low,A niche-but-legit classic VR conversion story.
96,Star Wars Jedi Knight: Jedi Academy,1M+ historical proxy,Historical estimate,Mod,QuestJKXR,Low,Same general case as Jedi Outcast.
97,System Shock (2023),1M-scale owners proxy,Owners proxy,Mod,UEVR community profiles,Low,Prestige remake rather than giant seller.
98,The Quarry,1M-scale reach proxy,Sales / owners proxy,Mod,UEVR community profiles,Low,"A valid conversion target, but clearly lower-tier by popularity."
99,The Stanley Parable: Ultra Deluxe,1M+ sold/owners proxy,Owners proxy,Mod,UEVR/community VR path,Low,A lower-confidence but plausible long-tail inclusion.
100,Trepang2,1M-scale owners proxy,Owners proxy,Mod,UEVR community profiles,Low,"Useful modern UEVR showcase, modest flat popularity."
